id,title,author,genre
1,Harry Potter à l'école des sorciers,J.K. Rowling,Fantasy
2,Le Seigneur des Anneaux - La Communauté de l'Anneau,J.R.R. Tolkien,Fantasy
3,Le Petit Prince,Antoine de Saint-Exupéry,Classique
4,1984,George Orwell,Science-Fiction
5,Dune,Frank Herbert,Science-Fiction
6,Le Meilleur des mondes,Aldous Huxley,Science-Fiction
7,Orgueil et Préjugés,Jane Austen,Romance
8,Crime et Châtiment,Fiodor Dostoïevski,Classique
9,L'Alchimiste,Paulo Coelho,Philosophie
10,Le Vieil Homme et la Mer,Ernest Hemingway,Classique
